re78	t	black	hisp	age	married	nodegree	educ	re74	u74	re75	u75
5.8438	0	1	0	55	0	1	3	0	1	0	1
8.598519	0	1	0	20	0	1	10	0	1	0	1
2.9202	0	1	0	34	0	1	11	0	1	0	1
0	0	1	0	22	0	0	12	0	1	0	1
6.73532	0	0	1	32	1	0	12	0	1	0	1
0	0	1	0	31	0	1	10	0	1	0	1
0	0	1	0	18	0	1	9	0	1	0	1
0	0	0	1	50	0	1	10	0	1	0	1
.0447555	0	1	0	25	1	1	11	0	1	0	1
0	0	1	0	23	1	1	10	0	1	0	1
0	0	1	0	38	0	1	10	0	1	0	1
3.70181	0	1	0	25	1	1	10	0	1	0	1
6.93034	0	1	0	42	0	1	10	0	1	0	1
3.7958	0	1	0	39	1	0	12	0	1	0	1
5.19325	0	1	0	34	1	0	13	0	1	0	1
2.19353	0	1	0	24	0	1	7	0	1	0	1
11.1205	0	1	0	32	0	1	11	0	1	0	1
7.60952	0	1	0	27	0	0	13	0	1	0	1
2.16903	0	1	0	26	0	1	10	0	1	0	1
0	0	1	0	44	0	1	11	0	1	0	1
1.26423	0	1	0	25	0	1	11	0	1	0	1
0	0	1	0	25	0	0	12	0	1	0	1
0	0	1	0	28	1	0	12	0	1	0	1
0	0	1	0	32	0	1	10	0	1	0	1
0	0	1	0	22	0	1	10	0	1	0	1
5.71264	0	1	0	19	0	1	9	0	1	0	1
0	0	1	0	31	1	1	10	0	1	0	1
0	0	1	0	23	0	1	11	0	1	0	1
0	0	1	0	33	0	1	11	0	1	0	1
1.18488	0	1	0	27	0	1	10	0	1	0	1
10.2259	0	1	0	29	1	1	11	0	1	0	1
0	0	1	0	23	0	1	10	0	1	0	1
4.71537	0	1	0	25	1	1	9	0	1	0	1
.28979	0	1	0	25	0	1	10	0	1	0	1
0	0	1	0	24	0	1	10	0	1	0	1
8.19042	0	0	0	28	0	1	8	0	1	0	1
4.81305	0	1	0	26	0	1	6	0	1	0	1
7.34468	0	1	0	30	1	0	14	0	1	0	1
0	0	1	0	25	1	1	10	0	1	0	1
0	0	1	0	29	1	1	11	0	1	0	1
0	0	1	0	25	1	0	12	0	1	0	1
0	0	1	0	28	0	0	13	0	1	0	1
4.35091	0	1	0	23	0	1	11	0	1	0	1
7.81252	0	1	0	54	0	1	11	0	1	0	1
0	0	0	1	33	0	1	5	0	1	0	1
3.64466	0	1	0	20	0	1	8	0	1	0	1
4.8448	0	1	0	45	0	1	9	0	1	0	1
0	0	1	0	39	0	1	6	0	1	0	1
0	0	1	0	26	0	0	12	0	1	0	1
0	0	1	0	23	0	1	10	0	1	0	1
14.7929	0	0	0	27	0	0	12	0	1	0	1
0	0	0	1	33	1	1	9	0	1	0	1
0	0	1	0	25	1	1	10	0	1	0	1
3.7467	0	1	0	23	0	1	8	0	1	0	1
1.56815	0	1	0	18	0	1	8	0	1	0	1
7.01044	0	1	0	17	0	1	8	0	1	0	1
3.81168	0	0	1	19	0	1	9	0	1	0	1
10.7986	0	0	1	18	0	1	8	0	1	0	1
4.65727	0	1	0	18	0	1	11	0	1	0	1
8.55153	0	1	0	17	0	1	11	0	1	0	1
4.30988	0	1	0	19	0	1	10	0	1	0	1
5.2864	0	1	0	19	0	1	10	0	1	0	1
12.4862	0	1	0	18	0	1	9	0	1	0	1
10.8774	0	1	0	18	0	1	9	0	1	0	1
.202285	0	1	0	18	0	1	10	0	1	0	1
2.65771	0	1	0	17	0	1	10	0	1	0	1
4.13258	0	1	0	18	0	1	7	0	1	0	1
11.3031	0	1	0	18	0	1	11	0	1	0	1
0	0	0	1	19	0	1	10	0	1	0	1
0	0	1	0	18	0	1	9	0	1	0	1
0	0	1	0	17	0	1	10	0	1	0	1
2.18943	0	1	0	17	0	1	10	0	1	0	1
0	0	1	0	19	0	1	11	0	1	0	1
10.211	0	0	0	17	0	1	8	0	1	0	1
11.0481	0	1	0	18	0	1	10	0	1	0	1
0	0	1	0	18	0	1	9	0	1	0	1
8.99387	0	1	0	17	0	1	8	0	1	0	1
5.0718	0	0	1	19	0	1	6	0	1	0	1
3.19401	0	0	0	19	0	1	10	0	1	0	1
0	0	0	0	17	0	1	11	0	1	0	1
5.19309	0	1	0	20	0	1	9	0	1	0	1
0	0	1	0	17	0	1	9	0	1	0	1
.275566	0	1	0	17	0	1	10	0	1	0	1
3.5907	0	1	0	17	0	1	9	0	1	0	1
0	0	1	0	19	0	1	11	0	1	0	1
12.7977	0	1	0	19	1	1	10	0	1	0	1
2.03591	0	1	0	20	0	1	9	0	1	0	1
2.38968	0	1	0	18	0	1	9	0	1	0	1
0	0	1	0	18	0	1	11	0	1	0	1
8.46928	0	0	1	17	0	1	10	0	1	0	1
0	0	1	0	19	0	1	11	0	1	0	1
1.14339	0	1	0	17	0	1	10	0	1	0	1
5.11481	0	0	1	17	0	1	9	0	1	0	1
.781224	0	1	0	18	0	1	10	0	1	0	1
3.34322	0	1	0	21	0	1	9	.591499	0	0	1
9.602441	0	1	0	18	0	1	10	1.56325	0	0	1
0	0	1	0	19	0	1	11	1.62662	0	0	1
16.4616	0	1	0	24	0	1	9	2.7885	0	0	1
6.77162	0	0	1	28	1	1	11	3.47295	0	0	1
0	0	1	0	25	0	1	11	5.28125	0	0	1
11.0116	0	1	0	21	0	1	7	33.8	0	0	1
0	0	1	0	39	0	1	11	0	1	.0836896	0
0	0	1	0	36	0	0	12	0	1	.142397	0
0	0	1	0	24	0	0	12	0	1	.159885	0
4.25113	0	1	0	17	0	1	11	.989268	0	.165208	0
2.89167	0	1	0	18	0	1	10	.960427	0	.240107	0
5.51437	0	1	0	18	0	1	10	0	1	.273553	0
4.8589	0	1	0	28	0	1	10	1.47129	0	.367823	0
4.81258	0	0	0	27	0	0	13	5.21431	0	.474502	0
0	0	0	0	31	0	0	12	0	1	.494643	0
.604199	0	1	0	22	0	1	9	0	1	.506408	0
14.5279	0	1	0	31	0	1	10	0	1	.520446	0
0	0	1	0	26	1	1	10	6.14037	0	.558773	0
7.3005	0	0	0	18	0	1	9	0	1	.559596	0
0	0	1	0	23	0	1	11	6.38231	0	.58079	0
4.15992	0	1	0	20	0	0	12	0	1	.591815	0
0	0	1	0	19	0	1	10	0	1	.604154	0
5.49759	0	1	0	18	0	1	11	1.0647	0	.645272	0
0	0	1	0	17	0	1	10	0	1	.664569	0
0	0	1	0	27	1	0	12	0	1	.75239	0
0	0	1	0	27	0	1	11	3.06519	0	.766299	0
16.477	0	0	0	28	0	0	12	0	1	.803343	0
0	0	1	0	28	0	1	11	2.43195	0	.86348	0
39.4835	0	1	0	21	0	1	10	6.66106	0	1.16236	0
11.3063	0	0	1	17	0	1	10	4.90512	0	1.1689	0
6.67202	0	1	0	26	0	1	11	4.69996	0	1.17499	0
9.378651	0	1	0	29	0	1	9	0	1	1.20382	0
5.08899	0	0	1	17	0	1	10	1.20361	0	1.23963	0
2.63929	0	1	0	22	0	1	11	7.91413	0	1.32166	0
9.4959	0	1	0	24	0	1	11	0	1	1.32799	0
20.8931	0	1	0	20	0	0	12	.557699	0	1.37147	0
0	0	1	0	18	0	0	12	0	1	1.40551	0
10.3617	0	0	0	24	0	1	11	2.66973	0	1.46838	0
1.7402	0	0	0	21	0	1	9	2.98841	0	1.57717	0
0	0	1	0	30	0	1	8	0	1	1.70666	0
0	0	1	0	31	0	1	11	17.7119	0	1.72645	0
6.35419	0	0	1	17	0	1	10	1.44268	0	1.73456	0
7.171	0	1	0	19	0	1	9	8.40963	0	1.77809	0
5.57355	0	1	0	23	0	1	11	0	1	1.89602	0
.439688	0	1	0	22	0	0	12	4.38002	0	2.00368	0
16.97	0	1	0	29	0	0	12	22.8594	0	2.08021	0
5.34402	0	1	0	22	0	1	10	0	1	2.17496	0
2.72532	0	1	0	29	0	0	13	.718249	0	2.26558	0
9.772281	0	1	0	19	0	1	11	.721341	0	2.44559	0
0	0	1	0	17	0	1	9	0	1	2.59527	0
0	0	1	0	18	0	1	10	1.71651	0	2.68213	0
1.72091	0	1	0	19	0	0	12	8.417	0	2.8142	0
0	0	1	0	20	0	1	6	6.00688	0	2.85061	0
18.8599	0	1	0	33	0	1	11	10.5238	0	2.89982	0
1.32454	0	0	1	36	0	1	11	5.44373	0	3.06388	0
.284658	0	1	0	25	0	1	11	15.21	0	3.07273	0
11.1959	0	1	0	19	0	1	11	3.50401	0	3.28568	0
0	0	1	0	23	0	1	8	7.72428	0	3.40306	0
0	0	1	0	17	0	1	11	4.08073	0	3.79603	0
7.56527	0	1	0	43	0	1	10	2.50287	0	4.12844	0
0	0	1	0	26	1	1	11	0	1	4.18473	0
0	0	1	0	27	1	1	11	0	1	4.49188	0
0	0	1	0	19	0	1	11	6.33749	0	4.50306	0
4.97459	0	1	0	28	1	1	11	8.593161	0	5.3939	0
12.78	0	1	0	28	1	0	12	10.5851	0	5.55146	0
3.52358	0	1	0	26	0	1	8	1.12629	0	5.5626	0
0	0	1	0	31	0	0	12	0	1	5.61391	0
10.2748	0	1	0	23	0	1	11	7.61736	0	5.71641	0
4.77972	0	1	0	20	0	0	12	7.18249	0	6.00473	0
16.9882	0	1	0	28	1	1	10	8.293349	0	6.44948	0
.499257	0	1	0	39	1	0	12	19.7853	0	6.60814	0
3.08358	0	1	0	21	0	1	8	39.5707	0	6.6083	0
3.70872	0	1	0	22	0	1	11	8.81007	0	6.97448	0
7.65922	0	1	0	20	0	1	11	8.00916	0	7.66688	0
20.8578	0	0	1	21	0	1	11	2.99253	0	8.920469	0
7.07818	0	0	1	23	0	0	12	5.7217	0	8.96068	0
0	0	1	0	29	0	1	9	9.26894	0	9.16069	0
1.23984	0	1	0	28	1	1	9	10.2224	0	9.21045	0
3.9828	0	1	0	30	1	1	11	0	1	9.31194	0
0	0	1	0	25	1	1	10	13.52	0	9.319441	0
0	0	1	0	28	1	1	11	.824389	0	10.0339	0
7.09492	0	0	0	22	0	1	10	27.8644	0	10.5987	0
12.3593	0	1	0	44	1	1	9	12.2608	0	10.8572	0
0	0	1	0	21	0	1	9	31.8864	0	12.3572	0
0	0	1	0	28	0	1	11	17.4915	0	13.3713	0
16.9003	0	0	1	29	0	1	9	9.59431	0	16.3412	0
7.34396	0	1	0	25	1	1	9	24.7316	0	16.9466	0
5.4488	0	0	0	22	1	1	10	25.7209	0	23.032	0
